1038127;1038132
261832;396083;261831
1116646;1116643;1116645
886946;261836
395911;524936;396079;396066
893927;893924;893923
497856;497857
378534;11085;378533;378549;11082;11083
1038090;497767;497768;497766;395971;378536;404634;497862;497863;497864
1038072;1038154;1038156
24266;261872;15321;535084;535085;15322;395929
25366;25374;25375;25373;25378;25379;25376;25372;25382;14353;14354;14355
902504;902503
395932;470807
902522;902523
1170717;1170718
535071;535072;535073
902463;902465;902466
902533;902532;902531
902475;902476
535081;535082;535083
356364;356363;529660
367834;378951;378952
1099625;1099623
1099622;1099621;1099619
455229;455230
262028;262029;262030
261995;261994
395936;470809
902558;902559;902560
1170711;1170712
902545;902546
261481;261483
902550;902551;902552
902512;902511;902510;902513;902515;902514;902516;902517;902520;902519;902518
394269;394268
392229;392230
1170720;1170721
1170714;1170715
902562;902561;535077
902541;902542;902543
378934;535035
395943;395944
378947;262032;262033
262035;262036;262037
535014;535015
902538;902539
902554;902555;902556
902569;902570
902497;902500;902501
262024;262025;262026
535018;535019
1029017;1029014;1029015
24903;24901;24902
13909;574725
14534;14535
12464;12465;12466
13894;1040457;1040459
275649;275651;275650;1040461;1040462
262098;262093;262094;574730;574731;262095;262096;262090;262089
262400;262403;262402;262405;262404;262399;262398
296549;296568
574736;574738
296544;296545;296546
296550;296559;296551
296552;296560;296554
296561;296557;296556
296565;296566;296567;296562;296563
404648;404647;404650;404649;404652;404651;404654;404653;404656;404655;404663;404644;404643;404645
404641;404640;404639
262120;20082;20083
20088;20087
24245;24243;24247;24246
12166;12167;24242
19611;19610
14544;14540;14541
25216;25219;25218;24472;24476;24473;24477;24471;24475
25690;574712;25692;14537;574728;25693;25694;574729
23619;352524
352803;23626
23743;24252;23744;262079;574709;574710;24250
25402;25405;25404
25410;25413;25412
12147;12148;12149
12151;12152;12153
12062;13447
13616;275638;275639
13630;13631;13632;13633
13622;13623;275640;275642;275641;275643;296569;296570
574716;13639;574714
262106;262103;262104
262421;262407
296813;262418;262417
352319;352316;352320;352317;352318;352315;352311;352312;352314
21597;21595
19717;17169;19715;19716;17170
17173;20237;20238;17175
21580;21979;21581;21977;21579
19725;19728;19727;574707
19719;19722;19721
23446;23448;23447
25698;25699;25220;25221;25700
25799;25794;25795;25796;25797
25212;25213
11684;11681;11682;11679;11680;11678;262080
12250;12253;12252;12255;12247;12246;12254;12249;12248
12239;12240;12241;12242;12243;12244;12245
262376;12232;12233;12234;12235;12237;12236
12155;12156;12157;12158;12159
296542;12471;12472;296543;12473
297186;297189;297187
275665;275666
297184;297181;297185;297180;297182
275660;275658;378463;275659
352519;352561
378531;396047;396046;378524;378523;378516;378515;378486;378485
574782;574785;574783;574786;574787;574788;574789;574790;574791;574792;574793
430443;404659
430595;404664;404665
574768;574769;1040585
574774;574777;574776;574781;574780
534271;534269
455246;455247;455248;455249;455250;455251;455252
455236;455238;455240;455239;455241;455243;455242;455244
1040553;1040555;1040556
1040567;1040569;1040570
1040513;1040514;1040515
534266;534267;534263;534264
534285;534286;534287;534288;534289;534278;534279
1040491;1040492
534291;534292
513896;513897;534256
534273;534274;534275;534276;534277
1040433;1040434;1040432
1040439;1040435;1040436;1040437
1040443;1040444
1040448;1040488;1040449
1040450;1040490;1040452
897060;897061
897063;897064
897065;897066;897067
897070;897071
897072;897073;897074
897077;897078;897079
897081;897082;897083
1040523;1040526
1040474;1040470;1040471
1040503;1040504;1040529
1040485;1040475;1040477
574757;574756
574745;574744
574747;574750;574749;574752;574751;574754;574753
16440;16438
261912;19029
261909;261911
23404;23405;23406
23413;23414
1148795;1148796
22121;22125;22110;22124
21886;352292;21887;14252;21888
1283292;1283302
1148778;455308;497866
455274;378741
887005;887004
1148786;1148787;1148788
886992;887064
11622;11605
21872;21870;22139;22140
22126;1217691;455295;396074;22127;22133;22128;22132
887049;887009
1409523;1409524;1409525
22145;22146;22147
886988;1283311;1148801
886982;887040;886975
378731;472529
395990;395989;1283315;395982;11616;11609;14223;11613;472510;11607;11614;11612;11608;472541;11615;297217;455297;455300;455299;455298;11610;470803;1283317
22153;22154;22155
22150;22149;22151
21878;378739;21879
14244;395974;11840;395999
11671;352362;24040;23961
21895;21896;21897
395979;472542;455267;23438
395985;455293
352391;24056;23928
1283341;1283343;1283344
21865;22117;22118;22119;21867
22112;22115;22114
21891;352852;21892
21866;1409529
11842;11843
17387;16706;16705;16703;16702;16707;16709;16708;16704
1221197;1221192
699519;699520;699521;699515;699516;699517
699522;699523
699528;699529;699530;699525;699526
23283;23278;23279;23280
22571;22570
17786;17787
16696;16700;262231;16697;16694;16699;16693;16698
16690;16692;16687;16688;16691
16685;262230;16683;16684;16686
699534;699532;699531
430533;430534
430414;430415
262235;262236;262233
924023;924024
262240;262237;262238
12355;12352;12354
11944;262164;262165
11894;11895;11896
11918;11916;11915
11905;11906;11907;11908;12410
11933;11934
12391;12393;12392
12398;12399;12397
924049;924050
11875;11876;13920;11877;13921;11878;11881;13922;11882;11879;11880;13923;924043;924040;924041;924042;924044
11927;11937;12402
1405512;924045;924047;924046
13530;13531;13532
607647;11909;14492;14490;11912;11911;11914;11913
11890;11892;11891
11887;11888
11883;11884;11885
11902;11903
11941;12382
11898;11899;11900
11939;12394;12387;12395;12388;11919;11920;11921;12389;12396
14494;14495
12370;12368;12371
1094695;1094696;1094701;1094705;1094702;1094706;1094699;1094700;1094704
378625;395959
16047;16604;16605;16050
22696;22697
16028;16033
22699;22700
21784;21786
16019;16020;16021;16022;261603;16024;16023;16018;16025
1093104;1093105;1093109;1093110;1093111;1093112;1093113;1093114;1093106;1093107;1093108
1093119;1093122;1093123;1093124;1093125;1093120;1093121
880689;880675;1029030;1093133;1029028;1029029;880676;880688
880686;880684;880687;880678;880685
1093098;1093099
1093101;1093102
880681;880682;880683;880680
261719;261720
261700;261703;297250
261495;261496;261497
262313;262312;262314
261687;16432;261686;261690;261689
297269;297270
261732;261733;261734
261492;261493
261764;261765
261760;261761;261762
261722;261723;261724
261697;261694;261710;261692;297271;297272;261691;261693
261736;261737
262315;262311
261752;261748
261725;261728;261727
261745;261746;261747
15019;15017
15033;404993;404992;404994;404999;404997;404995;404996;404998;405000
405027;405028;405029
405008;405007;405005;405006;405009
405010;405017;405012;405016;405013;405018;405015
23265;23264
1059035;1059036;1059034;1059037
1059039;1059042;1059040;1059041
1059045;1059046;1059043
1059048;1059049;1059050
1059052;1059053;1059054
1059056;1059057;1059058
1059064;1059065
1059067;1059068;1059069
1059060;1059061;1059062
262333;297206;262338;262334;297208
262335;262337
297213;297214;262339;262336
23162;23163
24852;24855;24853
13485;13486
24978;24977
13491;13492
24861;24862
448599;448600
16304;11422;11423;11424
23120;23119
16289;10313;16290
1186995;1186966
430515;11960;11961
396100;438562;438569
16298;16300
23139;23140
21984;21985
9586;9641
22879;22875;22876;22877
297304;262319
10085;10086
275601;275600;275599
1094281;1094282
297301;297302
11572;11573;11568;11569;11570
1221224;1186999;1221281
16444;19336
1419238;1419242;1419239;886962;886967;886963;1419244;1419240;1419245;1419241
20324;20323;11956
16308;17192;17193
297305;275613;275614;297300
17826;17827
731638;852303;852304;1186968;1283411
10284;10285
9578;9583
438594;438593;438567;438568
275609;275612;275610
1419234;1419233
9635;10302;10303
13478;13476;13477;13682
9646;9645
261513;9584
455334;389972
262222;262223;262221
356360;378983;378984
601128;601127
443624;443621;443623
1186950;1047957
1047961;1047964;1047963;1047962
455440;455332;455438;455439;455441
455437;455433;455434;455436
1047955;1047953
25685;602246;602239;601141;22553;389974;389976;389975
262219;13528;262220;356353;356354;378982;356358;356348;378981;356357;455330;455331;356349;455328;455329;356347;356352;262216;262215;262217;455327;356351;356356;262218;356350
448572;448571;448569
16462;16457;16458;16459;16461;16465;16463;16466;16467;20439;16468;16469;16547;16471;16472;16474;16476;16477;16478;16479;20440;16548;20441;20442;20443
508508;508505;508506
297340;297341;297349;297345;297338;297339;297348
275807;275808;275815
297344;297347;297342
12021;12024;12025;12022;12023
12280;12281
659538;659539
396063;378758;352442;448529;352443;396064;396068;352444;396065;352502;352503;352501;352505;352504
448577;448576
352507;378774;378766;378760
448646;396049
17862;17864;17863;448823
448664;448637
352233;396048
275791;262564;275792;262565;275793
10545;10543
23310;23311
18917;18918
18913;18914
10323;17935;10351;17936
373802;373805;373804
22741;22739
448634;448766;448767
430423;448852;448853
378749;378753;396018;378752;448878;448814;448812;448809;448813;448808;448810;448811
448675;448650
395964;378770;378757;378756;395965;186006;389961;186004;378771;186005
186010;448820
448678;448677
448635;448768;448769
10206;10207;10204;17929;17930;10205
448535;448534
12277;12278
448631;448762
659561;659555;448685;659536;448860;659537;448861
186012;186014;186016;186015;186013;378772;378769;448803;448868;448869;448870;186017;186020
448532;448531
448665;448639;448638;448774;448772;448775;448773
13535;186488;448783
12629;12611;448858
13734;13733;13735;13730;13731;13732;13706
448671;448643;448780
24060;24018
17410;17411;17412;17413
659541;659535
448538;448539;448537;448563;448561;448564;448562
448743;448737;448744
448610;448611;448593
448855;10970;448659;17916;10971;448632;17917;10972;448763;17918;10973;448764;17919;17920;17921;17922;17923;448856;448633;448765;23301
448791;659571;659572
430448;448748
183546;352448;378775;352449;352450
448651;659563
448668;448641
17885;17884;17883
659565;659567
448846;448848;448847
448736;448735;10542
659605;659599;659604
10212;10209;10208
17928;17926;17927
17890;17889;17887
12631;448795
352300;352301
448684;448653;448740
448583;448585
17933;261819
659556;659569
448723;430438;430439;448725;430440;430441
185992;185990;185991
430425;448843;448844
448591;448829
17938;17939;17940
448648;448730
185984;10562;17414
659553;11233;659554;11234;448617;18929;659597;659551;448849;11231
378750;659588;378751
352452;352497
448688;448543;448542
448862;659560;448863
448817;448818
659607;467425
448644;448785
659547;659549;659550
448549;448550;448551;448547
352446;352447;352445;373800;373799
430421;448841;448842
448747;275787
18927;18928
659593;659586
430476;430478
378759;352473;352474
262570;275802;275820;275816;275819;262569;275805;275812;262571;275810;262567
378773;378765
448687;448540;14665
352355;352354;17416
448642;448727;448669;659540;659533
13738;467426
448636;448770;448857
1431582;1431581
1148813;1148812
1221424;1221443
886938;886956
601142;601144;601138
852169;921728;852168;852170;921730;852171;921731;852172
529707;529713;529656
601147;601140;438561;601145;601139;601146;455343
920559;920563;920561;920562;920558
261517;261519
261828;261827;261521;261383;261384
1373370;1373371;1373368;1373369
851452;851455;851456;851457;851458;851453;851454
25172;25252;25198;25173;25174
396087;396089;396090
896971;896972;896973;896969
261805;297396
261818;261816
261796;261797;378538
